DoNothingAgent Reward,OptimCVXPY Reward,DoNothingAgent Timesteps,OptimCVXPY Timesteps
146400.39741516113,244454.85249328613,687,1401
618.2495880126953,54332.8768157959,4,399
26100.091201782227,365659.8098297119,117,2017
31772.02897644043,116009.62376403809,131,664
183479.2724609375,195747.65859985352,743,977
36056.124755859375,574432.7230682373,101,2017
180839.53744506836,626093.766418457,523,2017
47335.4919128418,394204.57431030273,124,1248
404424.47256469727,558436.6373443604,1275,2017
75822.4067993164,578351.6249084473,240,2017
41898.65870666504,88219.60301208496,154,378
33178.33447265625,179650.85098266602,141,996
